,Date,Year,Month,Week_of_Year,Week_of_Month,BU_Name,SalesGrouping,Flow_Name,Flow_Source,Flow_Destination,SP_Name,NWB Export Account,NWB Exp Stockp,Act_Acc_No,Act Export Account,Act Exp Stockp,BU Plan Date,Actual Volume Date,Train Status,T1,SL,FL,T2,Rail_ConsignmentNo,RBCT_ConsignmentNo,Wagon_Type,CNWB_Volume,Act_Volume,RBCT_IngoMass,Block_Load,CNWB_Wagons,Act_Wagons,Source_TAT_SD,THT,TFR Delay subtracted,TLT,Plan Note External,Act Note External,CX_Group,CX_Reason,Cancellation Notes,Actual Notes,FirstOfEntry_ID
0,2016-01-01 00:00:00,2016,1,53,1,Location54,Location8,Location54 to Location92,Location54,Location110,Coking Coal - Semi Soft Unsized,None Selected,None Selected,nan,None Selected,None Selected,2016-01-03 00:00:00,2016-01-01 00:00:00,Train Ran,2015-12-31 15:30:00,2015-12-31 18:18:00,2015-12-31 20:00:00,2016-01-01 00:50:00,8089889893.0,nan,CFR,4350.0,4180.176,0.0,75,75,75,6,9.333333333197515,0.0,1.7000000001280569,Train 8089889893 planned for 2016/01/03 arrived on 2015/12/31,Train 8089889893 was planned for 2016/01/03 but arrived on 2015/12/31,None,No Cancellation,None,nan,34792
1,2016-01-01 00:00:00,2016,1,53,1,Location54,Domestic Clients,Location54 to Location156 Depot,Location54,Location156,Coking Coal - Semi Soft Peas & Smal Nuts,None Selected,None Selected,nan,None Selected,None Selected,2016-01-02 00:00:00,2016-01-01 00:00:00,Train Ran,2015-12-31 22:45:00,2016-01-01 02:20:00,2016-01-01 04:55:00,2016-01-01 07:20:00,8089914199.0,nan,CAL,2400.0,2384.68,0.0,50,50,50,6,8.583333333372138,0.0,2.5833333333721384,Train 8089914199 planned for 2016/01/02 arrived on 2015/12/31,Train 8089914199 was planned for 2016/01/02 but arrived on 2015/12/31,None,No Cancellation,None,1) 01/01 05:00 : Busy loading.,34800
2,2016-01-01 00:00:00,2016,1,53,1,Location54,Exports,Location54 to Location125 Delivered - Coking Coal,Location54,Location125,None Selected,Location40,AMX,nan,None Selected,None Selected,2016-01-01 00:00:00,NaT,Train Cancelled,NaT,NaT,NaT,NaT,nan,nan,None,5800.0,0.0,0.0,100,100,0,7,nan,0.0,nan,Train did not run,nan,Location172,No personnel,Location172 : Imbalance of crew.,"1) 01/01 05:00 : Request day shift to please follow-up with Location172, regarding this load.
2) 02/01 04:00 : Empties available and on hand Ermelo.  Driver Prinsloo was on duty at 03:00 - 2/1 at Ermelo.  Still need confirmation if ECP locomotives are available.",34779
3,2016-01-01 00:00:00,2016,1,53,1,Location80,Exports,Location80 to Location125 (Location162 - Location40),Location80,Location125,Steam Coal,Location162,SDM,nan,Location162,None Selected,2016-01-02 00:00:00,2016-01-01 00:00:00,Train Ran,2016-01-01 11:40:00,2016-01-01 12:41:00,2016-01-01 14:43:00,2016-01-01 14:55:00,8089906967.0,Location21700001 (99002542),CCL,8400.0,8405.78,0.0,100,100,100,4,3.2500000001164153,0.0,2.0333333333255723,Train 8089906967 planned for 2016/01/02 arrived on 2016/01/01,Train 8089906967 was planned for 2016/01/02 but arrived on 2016/01/01,None,No Cancellation,None,nan,34774
4,2016-01-02 00:00:00,2016,1,53,1,Location54,Location8,Location54 to Location95,Location54,Location123,None Selected,None Selected,None Selected,nan,None Selected,None Selected,2016-01-02 00:00:00,NaT,Train Cancelled,NaT,NaT,NaT,NaT,nan,nan,None,1920.0,0.0,0.0,40,40,0,6,nan,0.0,nan,Train did not run,nan,Location172,No personnel,Location172 : Slow throughput of empties due to no personnel.,"1) 2/1 05:00 : Loaded load on hand Cordelfos for offloading. Once empty to resource this load.
2) 2/1 16:45 : Empties on hand Cordelfos :  Waiting for a connection to Pyramid South.
3) 3/1 04:00 : Empties on hand Cordelfos :  Waiting for a connection to",34787
5,2016-01-02 00:00:00,2016,1,53,1,Location54,Domestic Clients,Location54 to Location156 Depot,Location54,Location156,Coking Coal - Semi Soft Peas & Smal Nuts,None Selected,None Selected,nan,None Selected,None Selected,2016-01-03 00:00:00,2016-01-02 00:00:00,Train Ran,2016-01-02 19:25:00,2016-01-02 20:50:00,2016-01-02 23:00:00,2016-01-02 23:45:00,8089930593.0,nan,CAL,2400.0,1944.05,0.0,50,50,40,6,4.333333333313931,0.0,2.166666666744277,Train 8089930593 planned for 2016/01/03 arrived on 2016/01/02,Train 8089930593 was planned for 2016/01/03 but arrived on 2016/01/02,None,No Cancellation,None,nan,34801
6,2016-01-02 00:00:00,2016,1,53,1,Location74,Location8,Location74 to Location98,Location74,Location179,None Selected,None Selected,None Selected,nan,None Selected,None Selected,2016-01-02 00:00:00,NaT,Train Cancelled,NaT,NaT,NaT,NaT,nan,nan,None,1760.0,0.0,0.0,40,40,0,6,nan,0.0,nan,Train did not run,nan,Client,Stockpile full,Client : Stock balancing.,Cancelled by client due to stock balancing.,34806
7,2016-01-02 00:00:00,2016,1,53,1,Location74,Exports,Location74 to Location125 (Location40 MP LTA),Location74,Location125,Steam - Peas,Location40,XAR,nan,Location40,None Selected,2016-01-02 00:00:00,2016-01-02 00:00:00,Train Ran,2016-01-02 08:13:00,2016-01-02 08:13:00,2016-01-02 14:38:00,2016-01-02 14:38:00,8089905012.0,Location190-NP004 (99002171),CCL,5900.0,5959.75,0.0,100,100,100,4,6.416666666627862,0.0,6.416666666627862,nan,nan,None,No Cancellation,None,"1) 01/01 23:50 : Empties plan to depart from Ermelo to Delmas with Train 204 @ 01:00 - 2/1.
2) 02/01 04:00 : Empties departed from Ermelo to Delmas with Train 304 @ 01:55 - 2/1.",34776
8,2016-01-02 00:00:00,2016,1,53,1,Location80,Exports,Location80 to Location125 (Location40 MP LTA),Location80,Location125,None Selected,Location40,SDM,nan,None Selected,None Selected,2016-01-02 00:00:00,NaT,Train Plan Not Approved,NaT,NaT,NaT,NaT,nan,nan,None,0.0,0.0,0.0,100,0,0,4,nan,0.0,nan,nan,nan,None,No Cancellation,None,PRELIMINARY NWB :  NOT APPROVED BY Location172.,34773
9,2016-01-03 00:00:00,2016,1,53,1,Location54,Domestic Clients,Location54 to Location216 Location20,Location54,Location20,Steam - Duff,None Selected,None Selected,nan,None Selected,None Selected,2016-01-01 00:00:00,2016-01-03 00:00:00,Train Ran,2015-12-31 22:45:00,2015-12-31 23:40:00,2016-01-03 00:25:00,2016-01-03 01:30:00,8089914172.0,nan,CAL,1920.0,1953.07,0.0,40,40,40,6,50.75000000005821,0.0,48.75,Train 8089914172 planned for 2016/01/01 arrived on 2015/12/31,Train 8089914172 was planned for 2016/01/01 but arrived on 2015/12/31,None,No Cancellation,None,"1) 1/1 05:00 : Busy loading.
2) 2/1 04:00 : Waiting for empties to fill-up the load.
3) 4/1 04:00 : Waiting for empties to fill-up the load.",34802
