,Date,Year,Month,Week_of_Year,Week_of_Month,BU_Name,SalesGrouping,Flow_Name,Flow_Source,Flow_Destination,SP_Name,NWB Export Account,NWB Exp Stockp,Act_Acc_No,Act Export Account,Act Exp Stockp,BU Plan Date,Actual Volume Date,Train Status,T1,SL,FL,T2,Rail_ConsignmentNo,RBCT_ConsignmentNo,Wagon_Type,CNWB_Volume,Act_Volume,RBCT_IngoMass,Block_Load,CNWB_Wagons,Act_Wagons,Source_TAT_SD,THT,TFR Delay subtracted,TLT,Plan Note External,Act Note External,CX_Group,CX_Reason,Cancellation Notes,Actual Notes,FirstOfEntry_ID
0,2015-01-01 00:00:00,2015,1,1,1,Location54,Exports,Location54 to Location125 Delivered - Coking Coal,Location54,Location125,None Selected,Location40,AMX,nan,None Selected,None Selected,2015-01-01 00:00:00,NaT,Train Cancelled,NaT,NaT,NaT,NaT,nan,nan,None,5800,0.0,0.0,100,100,0,7,nan,0,nan,Train did not run,nan,Location172,No personnel,Location172 : Crew challenges.,"Location21705001 been changed to account 99002404 (Anglo)
Location21705004 loaded against Location162 99002542.",31723
1,2015-01-02 00:00:00,2015,1,1,1,Location54,Location8,Location54 to Location93,Location54,Location110,Market Coal - Unsized,None Selected,None Selected,nan,None Selected,None Selected,2015-01-02 00:00:00,2015-01-02 00:00:00,Train Ran,2015-01-01 11:00:00,2015-01-02 11:25:00,2015-01-02 12:50:00,2015-01-02 13:05:00,8088420241,nan,CFR,4350,3770.34,0.0,75,75,67,6,26.08333333331393,0,1.416666666569654,Train 8088420241 planned for 2015/01/02 arrived on 2015/01/01,Train 8088420241 was planned for 2015/01/02 but arrived on 2015/01/01,None,No Cancellation,None,1) 02/01 05:00 : Empties on hand Location54.,31751
2,2015-01-02 00:00:00,2015,1,1,1,Location54,Location8,Location54 to Location95,Location54,Location123,Market Coal - Unsized,None Selected,None Selected,nan,None Selected,None Selected,2014-12-30 00:00:00,2015-01-02 00:00:00,Train Ran,2015-01-01 10:00:00,2015-01-02 09:25:00,2015-01-02 10:00:00,2015-01-02 11:00:00,8088419477,nan,CAL,1920,2004.71,0.0,40,40,40,6,25.000000000116415,0,0.5833333333139308,Train 8088419477 planned for 2014/12/30 arrived on 2015/01/01,Train 8088419477 was planned for 2014/12/30 but arrived on 2015/01/01,None,No Cancellation,None,"1) 30/12 05:00 : Empties on hand Thabazimbi.
2) 30/12 16:45 : Empties on hand Thabazimbi waiting for connection to Location54.
3) 30/12 04:30 : Empties on hand Thabazimbi.
4) 01/01 17:00 : Empties on hand Location54.
5) 01/01 05:00 : Empties on hand",31745
3,2015-01-02 00:00:00,2015,1,1,1,Location54,Location8,Location54 to Location95,Location54,Location123,Market Coal - Unsized,None Selected,None Selected,nan,None Selected,None Selected,2015-01-02 00:00:00,2015-01-02 00:00:00,Train Ran,2015-01-01 10:00:00,2015-01-02 10:03:00,2015-01-02 10:40:00,2015-01-02 11:00:00,8088419486,nan,CAL,1920,2001.73,0.0,40,40,40,6,25.000000000116415,0,0.6166666667559184,Train 8088419486 planned for 2015/01/02 arrived on 2015/01/01,Train 8088419486 was planned for 2015/01/02 but arrived on 2015/01/01,None,No Cancellation,None,1) 02/01 05:00 : Empties on hand Thabazimbi.,31750
4,2015-01-02 00:00:00,2015,1,1,1,Location54,Location8,Location54 to Location97,Location54,Location179,Coking Coal - Semi Soft Unsized,None Selected,None Selected,nan,None Selected,None Selected,2014-12-30 00:00:00,2015-01-02 00:00:00,Train Ran,2015-01-02 15:30:00,2015-01-02 15:35:00,2015-01-02 16:35:00,2015-01-02 16:50:00,8088420106,nan,CFR,4350,3947.83,0.0,75,75,69,6,1.3333333333139308,0,0.9999999999417923,Train 8088420106 planned for 2014/12/30 arrived on 2015/01/02,Train 8088420106 was planned for 2014/12/30 but arrived on 2015/01/02,None,No Cancellation,None,"1) 30/12 05:00 :Empties on hand Thabazimbi.
2) 30/12 16:45 : Empties staged at Ferrogate.
3) 30/12 04:30 : Empties on hand Thabazimbi.
4) 01/01 17:00 : Empties on hand Location54.
5) 02/01 05:00 : Empties on hand Location54.
6) 2/1 16:45 : Still to",31746
5,2015-01-02 00:00:00,2015,1,1,1,Location54,Location8,Location54 to Location100,Location54,Location179,Steam - Location215 Metallurgical,None Selected,None Selected,nan,None Selected,None Selected,2015-01-02 00:00:00,2015-01-02 00:00:00,Train Ran,2015-01-02 07:45:00,2015-01-02 12:05:00,2015-01-02 12:10:00,2015-01-02 22:00:00,8088420009,nan,None,4350,4341.26,0.0,75,75,80,6,14.25,0,0.0833333334303461,nan,nan,None,No Cancellation,None,nan,31756
6,2015-01-02 00:00:00,2015,1,1,1,Location74,Location8,Location74 to Location98,Location74,Location179,Metallurgical - Peas,None Selected,None Selected,nan,None Selected,None Selected,2014-12-31 00:00:00,2015-01-02 00:00:00,Train Ran,2015-01-02 08:15:00,2015-01-02 08:15:00,2015-01-02 09:42:00,2015-01-02 09:42:00,8088412734,nan,ASJ,1760,1687.75,0.0,40,40,39,6,1.4500000000116415,0,1.4500000000116415,Train 8088412734 planned for 2014/12/31 arrived on 2015/01/02,Train 8088412734 was planned for 2014/12/31 but arrived on 2015/01/02,None,No Cancellation,None,"1) 31/12 04:30 : Waiting for empties to be pushed out to Bijlkor by client.
2) 01/01 17:00 : Empties staged at Eloff till 02/01/2015.
3) 01/01 05:00 : 01:00 crew went to restart.",31766
7,2015-01-02 00:00:00,2015,1,1,1,Location74,Location8,Location74 to Location98,Location74,Location179,None Selected,None Selected,None Selected,nan,None Selected,None Selected,2015-01-02 00:00:00,NaT,Train Cancelled,NaT,NaT,NaT,NaT,nan,nan,None,1760,0.0,0.0,40,40,0,6,nan,0,nan,Train did not run,nan,Location172,Crew time out,Location172 : Crew challenges.,"1) 02/01 05:00 : Taxi of 31/12 still to be loaded.
2) 2/1 16:45 : Taxi at Bijlkor waiting for 18:00 crew to restart.",31770
8,2015-01-02 00:00:00,2015,1,1,1,Location74,Domestic Clients,Location74 to Location67,Location74,Location68,None Selected,None Selected,None Selected,nan,None Selected,None Selected,2015-01-02 00:00:00,NaT,Train Cancelled,NaT,NaT,NaT,NaT,nan,nan,None,2320,0.0,0.0,40,40,0,6,nan,0,nan,Train did not run,nan,Location172,No personnel,Location172 : Slow Tat of sets due to public holiday.,"1) 02/01 05:00 : Empties not yet available.
2) 2/1 16:45 : Waiting for empties.
3) 3/01 05:00 : Waiting empties.
4) 3/1 16:45 : Waiting for empties.
5) 4/1 06:30  Waiting empties.",31768
9,2015-01-02 00:00:00,2015,1,1,1,Location74,Location38,Location74 to Location82,Location74,Location82,None Selected,None Selected,None Selected,nan,None Selected,None Selected,2015-01-02 00:00:00,NaT,Train Cancelled,NaT,NaT,NaT,NaT,nan,nan,None,4350,0.0,0.0,75,75,0,6,nan,0,nan,Train did not run,nan,Client,Breakdown,Client : Location82 tippler problems.,"1) 02/01 05:00 : Empties not yet available.
2) 2/1 16:56 : Waiting for empties. Location82 not offloading due to tippler problems.",31769
