,Date,Year,Month,Week_of_Year,Week_of_Month,BU_Name,SalesGrouping,Flow_Name,Flow_Source,Flow_Destination,SP_Name,NWB Export Account,NWB Exp Stockp,Act_Acc_No,Act Export Account,Act Exp Stockp,BU Plan Date,Actual Volume Date,Train Status,T1,SL,FL,T2,Rail_ConsignmentNo,RBCT_ConsignmentNo,Wagon_Type,CNWB_Volume,Act_Volume,RBCT_IngoMass,Block_Load,CNWB_Wagons,Act_Wagons,Source_TAT_SD,THT,TFR Delay subtracted,TLT,Plan Note External,Act Note External,CX_Group,CX_Reason,Cancellation Notes,Actual Notes,FirstOfEntry_ID
0,2019-01-02 00:00:00,2019,1,1,1,Location54,Location8,Location54 to Location92,Location54,Location110,Coking Coal - Semi Soft Unsized,None Selected,None Selected,nan,None Selected,None Selected,2018-12-31 00:00:00,2019-01-02 00:00:00,Train Ran,2019-01-02 06:55:00,2019-01-02 07:45:00,2019-01-02 09:10:00,2019-01-02 10:15:00,8094008911,nan,None,4350,4408.4,0.0,75,75,75,6,3.3333333333721384,0.0,1.4166666667442769,Train 8094008911 planned for 2018/12/31 arrived on 2019/01/02,Train 8094008911 was planned for 2018/12/31 but arrived on 2019/01/02,None,No Cancellation,None,nan,43077
1,2019-01-02 00:00:00,2019,1,1,1,Location54,Exports,Location54 to Location125 (Location40 WB LTA),Location54,Location125,Coking Coal - Semi Soft Unsized,Location40 - WB LTA,AMX,99002327.0,Location40 - WB LTA,AMX,2018-12-31 00:00:00,2019-01-02 00:00:00,Train Ran,2019-01-02 11:50:00,2019-01-02 12:35:00,2019-01-02 16:35:00,2019-01-02 17:10:00,8094008751,AMX952 (99002327),None,5800,5918.85,5855.0,100,100,100,4,5.333333333430346,0.0,3.9999999999417923,Train 8094008751 planned for 2018/12/31 arrived on 2019/01/02,Train 8094008751 was planned for 2018/12/31 but arrived on 2019/01/02,None,No Cancellation,None,nan,43050
2,2019-01-02 00:00:00,2019,1,1,1,Location74,Exports,Location74 to Location125 (Location40 MP LTA),Location74,Location125,None Selected,Location40 - MP LTA,None Selected,nan,None Selected,None Selected,2019-01-02 00:00:00,NaT,Train Cancelled,NaT,NaT,NaT,NaT,nan,nan,None,5800,0.0,0.0,100,100,0,4,nan,0.0,nan,Train did not run,nan,BU,Manpower,BU : Declined by Location74.,nan,43057
3,2019-01-02 00:00:00,2019,1,1,1,Location80,Exports,Location80 to Location125 (Location40 MP LTA),Location80,Location125,Steam - Unsized,Location40 - MP LTA,XAR,99002381.0,Location40 - MP LTA,XAR,2019-01-02 00:00:00,2019-01-02 00:00:00,Train Ran,2019-01-02 08:05:00,2019-01-02 08:17:00,2019-01-02 12:02:00,2019-01-02 12:10:00,8094006403,XAR00001 (99002381),None,8400,8402.12,9021.0,100,100,100,4,4.083333333372138,0.0,3.75,nan,nan,None,No Cancellation,None,nan,43067
4,2019-01-03 00:00:00,2019,1,1,1,Location22,Exports,Location65 to Location125 (Location40 MP LTA),Location65,Location125,Steam Coal,Location40 - MP LTA,None Selected,97203316.0,Location40 - MP LTA,None Selected,2019-01-03 00:00:00,2019-01-03 00:00:00,Train Ran,2019-01-03 14:40:00,2019-01-03 14:58:00,2019-01-03 17:50:00,2019-01-03 17:57:00,8094005622,DCM0001 (97203316),None,8400,8453.4,0.0,100,100,100,4,3.28333333338378,0.0,2.8666666665812954,nan,nan,None,No Cancellation,None,1) 3/1 12:45 : Empties en route on train 446.,43072
5,2019-01-03 00:00:00,2019,1,1,1,Location47,Exports,Location47 to Location125 (Location40 MP LTA),Location47,Location125,Steam Coal,None Selected,None Selected,97203135.0,Location40 - MP LTA,SDM,NaT,2019-01-03 00:00:00,Extra Train,2019-01-03 15:30:00,2019-01-03 15:40:00,2019-01-03 19:25:00,2019-01-03 19:25:00,8094020124,SDM002F (97203135),None,0,8246.38,8498.0,100,0,100,4,3.916666666686069,0.0,3.75,nan,Train was not planned,None,No Cancellation,None,Extra load.,43102
6,2019-01-03 00:00:00,2019,1,1,1,Location47,Exports,Location47 to Location125 (Location40 MP LTA),Location47,Location125,Steam Coal,Location40 - MP LTA,None Selected,97203135.0,Location40 - MP LTA,SDM,2019-01-03 00:00:00,2019-01-03 00:00:00,Train Ran,2019-01-03 03:40:00,2019-01-03 04:10:00,2019-01-03 09:15:00,2019-01-03 09:15:00,8094005773,SDM001F (97203135),None,8400,8250.64,8690.0,100,100,100,4,5.3333333331975155,0.25,5.083333333313931,nan,nan,None,No Cancellation,None,nan,43074
7,2019-01-03 00:00:00,2019,1,1,1,Location54,Location8,Location54 to Location95,Location54,Location123,Market Coal - Unsized,None Selected,None Selected,nan,None Selected,None Selected,2019-01-03 00:00:00,2019-01-03 00:00:00,Train Ran,2019-01-03 21:05:00,2019-01-03 21:20:00,2019-01-03 22:05:00,2019-01-03 22:15:00,8094008895,nan,None,1920,1934.67,0.0,40,40,40,6,1.1666666668024845,0.0,0.75,nan,nan,None,No Cancellation,None,1) 3/1 12:45 : Empties on hand Thabazimbi waiting for connection to Location54.,43083
8,2019-01-03 00:00:00,2019,1,1,1,Location54,Domestic Clients,Location54 to Location156 Depot,Location54,Location156,Coking Coal - Semi Soft Peas & Smal Nuts,None Selected,None Selected,nan,None Selected,None Selected,2019-01-02 00:00:00,2019-01-03 00:00:00,Train Ran,2019-01-01 17:50:00,2019-01-02 23:50:00,2019-01-03 10:45:00,2019-01-03 11:40:00,8094008832,nan,None,2400,2630.38,0.0,50,50,50,6,41.83333333331393,0.0,10.916666666627862,Train 8094008832 planned for 2019/01/02 arrived on 2019/01/01,Train 8094008832 was planned for 2019/01/02 but arrived on 2019/01/01,None,No Cancellation,None,nan,43082
9,2019-01-03 00:00:00,2019,1,1,1,Location54,Domestic Clients,Location54 to Location183,Location54,Location12,Steam - Peas,None Selected,None Selected,nan,None Selected,None Selected,2019-01-04 00:00:00,2019-01-03 00:00:00,Train Ran,2019-01-02 21:15:00,2019-01-03 19:00:00,2019-01-03 21:25:00,2019-01-03 21:55:00,6046619912,nan,None,1680,1831.02,0.0,0,40,40,18,24.666666666744277,0.0,2.416666666686069,Train 6046619912 planned for 2019/01/04 arrived on 2019/01/02,Train 6046619912 was planned for 2019/01/04 but arrived on 2019/01/02,None,No Cancellation,None,nan,43087
10,2019-01-03 00:00:00,2019,1,1,1,Location54,Exports,Location54 to Location125 (Location40 WB LTA),Location54,Location125,Coking Coal - Semi Soft Unsized,Location40 - WB LTA,AMX,99002327.0,Location40 - WB LTA,AMX,2019-01-02 00:00:00,2019-01-03 00:00:00,Train Ran,2019-01-03 05:15:00,2019-01-03 05:25:00,2019-01-03 15:10:00,2019-01-03 15:45:00,8094008762,AMX953 (99002327),None,5800,5999.78,0.0,100,100,100,4,10.5,0.0,9.75,Train 8094008762 planned for 2019/01/02 arrived on 2019/01/03,Train 8094008762 was planned for 2019/01/02 but arrived on 2019/01/03,None,No Cancellation,None,1) 3/1 12:45 : Busy loading.,43051
11,2019-01-03 00:00:00,2019,1,1,1,Location74,Exports,Location74 to Location125 (Location40 MP LTA),Location74,Location125,None Selected,Location40 - MP LTA,None Selected,nan,None Selected,None Selected,2019-01-03 00:00:00,NaT,Train Plan Not Approved,NaT,NaT,NaT,NaT,nan,nan,None,0,0.0,0.0,100,0,0,4,nan,0.0,nan,nan,nan,None,No Cancellation,None,Preliminary requested - not approved.,43059
12,2019-01-03 00:00:00,2019,1,1,1,Location74,Exports,Location74 to Location125 (Location40 MP LTA),Location74,Location125,Steam Coal,Location40 - MP LTA,None Selected,99002171.0,Location40 - MP LTA,None Selected,2019-01-03 00:00:00,2019-01-03 00:00:00,Train Ran,2019-01-03 14:30:00,2019-01-03 14:31:00,2019-01-03 20:48:00,2019-01-03 20:50:00,8093998554,Location190RB312 (99002171),None,5800,5942.75,0.0,100,100,100,4,6.333333333372138,0.0,6.28333333338378,nan,nan,None,No Cancellation,None,1) 3/1 12:45 : Busy loading.,43058
13,2019-01-03 00:00:00,2019,1,1,1,Location80,Exports,Location80 to Location125 (Location40 MP LTA),Location80,Location125,Steam - Unsized,None Selected,None Selected,99002381.0,Location40 - MP LTA,XAR,NaT,2019-01-03 00:00:00,Extra Train,2019-01-03 10:15:00,2019-01-03 11:11:00,2019-01-03 13:49:00,2019-01-03 14:15:00,8094006389,XAR00002 (99002381),None,0,8428.94,0.0,100,0,100,4,3.9999999999417923,0.0,2.633333333360497,nan,Train was not planned,None,No Cancellation,None,Extra load.,43103
14,2019-01-04 00:00:00,2019,1,1,1,Location54,Location8,Location54 to Location92,Location54,Location110,Coking Coal - Semi Soft Unsized,None Selected,None Selected,nan,None Selected,None Selected,2019-01-02 00:00:00,2019-01-04 00:00:00,Train Ran,2019-01-04 00:45:00,2019-01-04 01:00:00,2019-01-04 02:35:00,2019-01-04 02:45:00,8094008929,nan,None,4350,4212.27,0.0,75,75,75,6,2.0000000000582077,0.0,1.583333333430346,Train 8094008929 planned for 2019/01/02 arrived on 2019/01/04,Train 8094008929 was planned for 2019/01/02 but arrived on 2019/01/04,None,No Cancellation,None,1) 3/1 12:45 : Empties on hand Thabazimbi waiting for connection to Location54.,43079
