,Date,Year,Month,Week_of_Year,Week_of_Month,BU_Name,SalesGrouping,Flow_Name,Flow_Source,Flow_Destination,SP_Name,NWB Export Account,NWB Exp Stockp,Act_Acc_No,Act Export Account,Act Exp Stockp,BU Plan Date,Actual Volume Date,Train Status,T1,SL,FL,T2,Rail_ConsignmentNo,RBCT_ConsignmentNo,Wagon_Type,CNWB_Volume,Act_Volume,RBCT_IngoMass,Block_Load,CNWB_Wagons,Act_Wagons,Source_TAT_SD,THT,TFR Delay subtracted,TLT,Plan Note External,Act Note External,CX_Group,CX_Reason,Cancellation Notes,Actual Notes,FirstOfEntry_ID
0,2014-01-01 00:00:00,2014,1,1,1,Location80,Exports,Location80 to Location125 (Location162 - Location40),Location80,Location125,Steam Coal,Location162,SDM,nan,Location162,SDM,2014-01-03 00:00:00,2014-01-01 00:00:00,Train Ran,2014-01-01 15:20:00,2014-01-01 16:24:00,2014-01-01 20:04:00,2014-01-01 20:10:00,8086895059.0,SDM 00095 (99002542),CCL,8400,8288.64,0.0,100,100,100,4,4.833333333372138,0,3.666666666569654,Train 8086895059 planned for 2014/01/03 arrived on 2014/01/01,Train 8086895059 was planned for 2014/01/03 but arrived on 2014/01/01,None,No Cancellation,None,"Extra load.

1) 1/1 12:30 : Empties departed on train 442 at 12:29 from Ermelo.
2) 1/1 16:45 : Busy loading.",27966
1,2014-01-01 00:00:00,2014,1,1,1,Location175,Exports,Location162: Location40 from Location175,Location175,Location125,None Selected,Location162,None Selected,nan,None Selected,None Selected,2014-01-01 00:00:00,NaT,Train Cancelled,NaT,NaT,NaT,NaT,nan,nan,None,5800,0.0,0.0,0,100,0,6,nan,0,nan,Train did not run,nan,BU,Manpower,BU : Non-availability of personnel due to public holiday.,nan,27924
2,2014-01-02 00:00:00,2014,1,1,1,Location54,Location8,Location54 to Location96,Location54,Location171,Steam - Small Nuts,None Selected,None Selected,nan,None Selected,None Selected,2013-12-31 00:00:00,2014-01-02 00:00:00,Train Ran,2013-12-31 05:25:00,2013-12-31 07:25:00,2014-01-02 09:05:00,2014-01-02 09:45:00,8086914091.0,nan,CCL,4234,3798.48,0.0,73,73,67,6,52.33333333331393,0,49.666666666511446,nan,nan,None,No Cancellation,None,"1) 31/12 04:00 : Empties on hand Thabazimbi :  Waiting for connection to Location54.
2) 31/12 07:30 : Busy loading.
3) 31/12 14:00 : Load will only be completed on Thursday to product shortage.
4) 1/1 16:45 : Load still to be completed.
5) 2/1 04:00 ",27960
3,2014-01-02 00:00:00,2014,1,1,1,Location54,Location8,Location54 to Location100,Location54,Location179,Coking Coal - Semi Soft Unsized,None Selected,None Selected,nan,None Selected,None Selected,2014-01-02 00:00:00,2014-01-02 00:00:00,Train Ran,2014-01-02 12:40:00,2014-01-02 15:50:00,2014-01-02 17:30:00,2014-01-02 17:45:00,8086913962.0,nan,CCL,4350,4252.689,0.0,75,75,75,6,5.083333333313931,0,1.6666666666860692,nan,nan,None,No Cancellation,None,"1) 2/1 04:00 : Empties on hand Thabazimbi :  Waiting for connection of Thabazimbi to Location54.
2) 2/1 16:45 : Busy loading Bijlkor :   CC
3) 3/1 04:00 : Loaded :  On hand Location54 :  Waiting for a connection.",27928
4,2014-01-02 00:00:00,2014,1,1,1,Location54,Domestic Clients,Location54 to Location216 Location31,Location54,Location31,Steam - Peas,None Selected,None Selected,nan,None Selected,None Selected,2014-01-02 00:00:00,NaT,Train Cancelled,NaT,NaT,NaT,NaT,nan,nan,CFR,1920,0.0,0.0,40,40,0,6,nan,0,nan,Train did not run,nan,Client,Stockpile full,Client : Stockpiles full.,"1) 2/1 04:00 : Empties available and on hand Location31 :  Waiting for a connection slot to fetch the load at Location31.
2) 2/1 16:45 : Empties on hand Location31 for connection this afternoon to Thabazimbi.
3) 3/1 04:00 : Empties available and on hand Th",27938
5,2014-01-02 00:00:00,2014,1,1,1,Location54,Domestic Clients,Location54 to Location156 Depot,Location54,Location156,Coking Coal - Semi Soft Peas & Smal Nuts,None Selected,None Selected,nan,None Selected,None Selected,2013-12-31 00:00:00,2014-01-02 00:00:00,Train Ran,2014-01-02 05:20:00,2014-01-02 10:25:00,2014-01-02 14:25:00,2014-01-02 15:00:00,8086913991.0,nan,CAL,2400,3775.4,0.0,50,50,79,6,9.666666666744277,0,3.9999999999417923,Train 8086913991 planned for 2013/12/31 arrived on 2014/01/02,Train 8086913991 was planned for 2013/12/31 but arrived on 2014/01/02,None,No Cancellation,None,"1) 31/12 03:00 : Waiting for empties to become available from Location156 Depot.
2) 31/12 14:00 : Empties on hand Location156 but still to be shunted out. Will only be supplied on Thursday.
3) 1/1 16:45 : Empties en route to Thabazimbi on train 4053/1.
4",27937
6,2014-01-02 00:00:00,2014,1,1,1,Location54,Exports,Location162: Location40 from Location54 Location192,Location54,Location125,Coking Coal - Semi Soft Unsized,None Selected,None Selected,nan,Location162,SD6,NaT,2014-01-02 00:00:00,Extra Train,2014-01-02 08:55:00,2014-01-02 09:10:00,2014-01-02 13:00:00,2014-01-02 13:05:00,8086914188.0,Location193K 185 (99002542),CCL,0,5795.246,0.0,100,0,100,7,4.166666666627862,0,3.833333333255723,nan,Train was not planned,None,No Cancellation,None,"RECOVERY FOR THE LOAD LOST ON 30/12.

1) 31/12 05:00 : Empties on hand Ermelo :  Plan to depart from Ermelo to Pyramid South with Train 8472 @ ± 07:00 - 31/12.
2) 31/12 10:20 : Empties departed on train 8472 at 07:33 from Ermelo.
3) 1/1 16:45 : Emptie",27965
7,2014-01-02 00:00:00,2014,1,1,1,Location74,Location38,Location74 to Location82,Location74,Location82,Steam - Mixed Nuts High Ash,None Selected,None Selected,nan,None Selected,None Selected,2014-01-02 00:00:00,2014-01-02 00:00:00,Train Ran,2014-01-02 13:10:00,2014-01-02 13:10:00,2014-01-02 17:05:00,2014-01-02 17:05:00,8086910015.0,nan,CCL,4350,4220.1,0.0,75,75,72,6,3.916666666686069,0,3.916666666686069,nan,nan,None,No Cancellation,None,"1) 2/1 04:00 : Waiting enroute from Location82 to Welgedag :  ETA at Welgedag is ± 10:00 - 2/1.
2) 2/1 16:10 : Location74 busy loading - left with 20 wagons.",27949
8,2014-01-02 00:00:00,2014,1,1,1,Location74,Exports,Location74 to Location83 (CoAL),Location74,Location83,Steam Coal,None Selected,None Selected,nan,None Selected,None Selected,2014-01-02 00:00:00,2014-01-02 00:00:00,Train Ran,2014-01-02 20:35:00,2014-01-02 20:35:00,2014-01-02 23:25:00,2014-01-02 23:25:00,8086907232.0,Location190-MAP 100 (99000305),CFR,2900,2334.55,0.0,50,50,40,6,2.833333333313931,0,2.833333333313931,nan,nan,None,No Cancellation,None,"1) 2/1 04:00 : No telephone reply on the Location83 Table :  (All the available numbers).
2) 2/1 16:10 : Hauler coupled onto empties at Location15 to depart not loang from now to Location74.
3) 3/1 04:00 : Empties",27961
9,2014-01-02 00:00:00,2014,1,1,1,Location80,Exports,Location80 to Location125 (Location162 - Location40),Location80,Location125,None Selected,Location162,SDM,nan,None Selected,None Selected,2014-01-02 00:00:00,NaT,Train Plan Not Approved,NaT,NaT,NaT,NaT,nan,nan,None,0,0.0,0.0,100,0,0,4,nan,0,nan,nan,nan,None,No Cancellation,None,NWB Preliminary Request :  Not approved by Location172.,27911
